EnergyTarget,CO2Target,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,NumberofBuildings,NumberofFloors,PropertyGFAParking,BuildingAge,GFA_per_floor,BuildingGFARatio,LargestUseRatio,SecondUseRatio,ThirdUseRatio,BuildingType,PrimaryPropertyType,Neighborhood,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,BuildingAgeCat,SizeCategory,HasEnergyStarScore,UsesElectricity,UsesGas,UsesSteam
12870916.0,443.73,245587.0,0.0,0.0,92.0,1.0,1,0,57,245587.0,1.0,1.0,0.0,0.0,SPS-District K-12,K-12 School,NORTHWEST,No_Second_Use,No_Third_Use,2,4,1,1,1,0
3323400.5,89.02,70609.0,0.0,0.0,78.0,1.0,3,0,14,23046.0,1.0,1.0212762880037027,0.0,0.0,NonResidential,Hotel,NORTHWEST,No_Second_Use,No_Third_Use,0,3,1,1,1,0
6505995.0,142.39,190980.0,19051.0,0.0,98.0,1.0,5,0,112,38196.0,1.0,1.0,0.09975390093203476,0.0,NonResidential,Hotel,DOWNTOWN,Parking,No_Third_Use,3,4,1,1,1,0
14881950.0,429.12,189750.0,0.0,0.0,,1.0,6,0,18,47350.0,1.0,0.6678986272439282,0.0,0.0,Nonresidential COS,Other,DOWNTOWN,No_Second_Use,No_Third_Use,1,4,0,1,1,1
9550716.0,176.75,42755.0,29219.0,0.0,,1.0,4,0,10,15289.0,1.0,0.6991137419059454,0.47777814114723005,0.0,Nonresidential COS,Other,DOWNTOWN,Office,No_Third_Use,0,2,0,1,1,0
2095175.25,46.26,58000.0,0.0,0.0,,1.0,4,13820,106,18205.0,0.8102169733589674,0.7964844822850865,0.0,0.0,NonResidential,Other,DOWNTOWN,No_Second_Use,No_Third_Use,3,3,0,1,1,0
8016521.0,228.4,113702.0,32692.0,0.0,76.0,1.0,4,14200,20,40555.5,0.9124656335145664,0.700903699868082,0.20152630346068967,0.0,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,Parking,No_Third_Use,1,4,1,1,1,0
3284214.5,74.33,64820.0,0.0,0.0,,1.0,3,0,101,21110.0,1.0,1.0235275540817939,0.0,0.0,NonResidential,University,EAST,No_Second_Use,No_Third_Use,3,3,0,1,1,0
41151732.0,866.23,483000.0,0.0,0.0,,27.0,2,0,46,220535.5,1.0,1.095061792772592,0.0,0.0,Campus,University,DELRIDGE,No_Second_Use,No_Third_Use,2,4,0,1,1,0
16274449.0,222.02,92300.0,4944.0,0.0,,1.0,2,0,14,48150.0,1.0,0.9584631360332295,0.05133956386292835,0.0,NonResidential,Small- and Mid-Sized Office,NORTHEAST,Data Center,No_Third_Use,0,3,0,1,1,0
8086930.5,204.08,68359.0,0.0,0.0,,1.0,1,0,66,67356.0,1.0,1.014891026783063,0.0,0.0,Nonresidential COS,Other,GREATER DUWAMISH,No_Second_Use,No_Third_Use,2,3,0,1,1,0
4503671.5,61.21,25765.0,25000.0,0.0,,1.0,1,0,58,54765.0,1.0,0.4704647128640555,0.45649593718615905,0.0,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,Other,No_Third_Use,2,2,0,1,1,0
2220796.5,100.46,46483.0,37938.0,4579.0,,1.0,5,0,7,17964.2,1.0,0.5175070417831019,0.4223733870698389,0.05097916968192293,NonResidential,Other,GREATER DUWAMISH,Office,Food Service,0,3,0,1,1,0
4390158.0,104.26,52611.0,0.0,0.0,,1.0,2,0,36,26305.5,1.0,1.0,0.0,0.0,NonResidential,University,MAGNOLIA / QUEEN ANNE,No_Second_Use,No_Third_Use,1,2,0,1,1,0
4800620.5,129.39,135520.0,0.0,0.0,89.0,1.0,4,37500,15,34900.0,0.7313753581661891,0.9707736389684813,0.0,0.0,NonResidential,Residence Hall,MAGNOLIA / QUEEN ANNE,No_Second_Use,No_Third_Use,0,4,1,1,1,0
9287467.0,222.78,238550.0,0.0,0.0,96.0,1.0,2,0,5,118379.0,1.0,1.0075689100262715,0.0,0.0,SPS-District K-12,K-12 School,NORTH,Parking,No_Third_Use,0,4,1,1,1,0
14196194.0,422.39,137565.0,78357.0,0.0,,3.0,6,0,45,41830.166666666664,1.0,0.5481092194229842,0.3122029157585634,0.0,NonResidential,Other,CENTRAL,Courthouse,No_Third_Use,2,4,0,1,1,1
3375016.25,49.58,30000.0,15000.0,9015.0,21.0,1.0,3,0,9,21338.333333333332,1.0,0.46864016246192297,0.23432008123096149,0.14082636881980787,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,Non-Refrigerated Warehouse,Other - Services,0,3,1,1,1,0
28763498.0,723.47,505103.0,24936.0,0.0,98.0,1.0,1,0,65,530039.0,1.0,0.9529544052418785,0.047045594758121576,0.0,NonResidential,Retail Store,NORTH,Restaurant,No_Third_Use,2,4,1,1,1,0
7668810.0,231.53,47012.0,0.0,0.0,,1.0,3,0,52,18074.666666666668,1.0,0.8669961640601948,0.0,0.0,NonResidential,Other,NORTH,No_Second_Use,No_Third_Use,2,2,0,1,1,0
8729918.0,66.3,122000.0,0.0,0.0,76.0,1.0,4,0,51,31085.5,1.0,0.9811648517797688,0.0,0.0,NonResidential,Retail Store,NORTH,No_Second_Use,No_Third_Use,2,3,1,1,1,0
3313397.0,83.7,28636.0,15385.0,8644.0,72.0,1.0,3,0,20,18480.666666666668,1.0,0.5165037336315429,0.2774972042855597,0.15591068143284875,NonResidential,Other,NORTHWEST,Parking,Medical Office,1,2,1,1,1,0
1617801.25,51.11,85521.0,0.0,0.0,,1.0,5,0,106,16974.0,1.0,1.0076705549664193,0.0,0.0,NonResidential,Self-Storage Facility,EAST,No_Second_Use,No_Third_Use,3,3,0,1,1,0
37410800.0,362.82,667335.0,0.0,0.0,,11.0,2,111625,46,347036.0,0.8391737456632741,0.9614780599130925,0.0,0.0,Campus,University,NORTHWEST,No_Second_Use,No_Third_Use,2,4,0,1,1,0
2415462.5,69.44,114297.0,0.0,0.0,61.0,1.0,4,0,112,28574.25,1.0,1.0,0.0,0.0,NonResidential,Warehouse,GREATER DUWAMISH,No_Second_Use,No_Third_Use,3,3,1,1,1,0
7874958.5,297.43,234144.0,0.0,0.0,87.0,1.0,1,0,79,234144.0,1.0,1.0,0.0,0.0,NonResidential,Warehouse,GREATER DUWAMISH,No_Second_Use,No_Third_Use,3,4,1,1,1,0
3016373.5,35.78,65425.0,0.0,0.0,72.0,1.0,1,0,50,64984.0,1.0,1.0067862858549796,0.0,0.0,NonResidential,Retail Store,DELRIDGE,No_Second_Use,No_Third_Use,2,3,1,1,1,0
9589728.0,369.14,67782.0,0.0,0.0,37.0,1.0,1,0,51,67745.0,1.0,1.0005461657686914,0.0,0.0,NonResidential,Retail Store,DELRIDGE,No_Second_Use,No_Third_Use,2,3,1,1,1,0
13279344.0,272.85,367884.0,0.0,0.0,97.0,1.0,2,0,6,183942.0,1.0,1.0,0.0,0.0,SPS-District K-12,K-12 School,DELRIDGE,No_Second_Use,No_Third_Use,0,4,1,1,1,0
2088978.125,59.34,56000.0,0.0,0.0,,1.0,3,0,43,18666.666666666668,1.0,1.0,0.0,0.0,NonResidential,Other,BALLARD,No_Second_Use,No_Third_Use,2,2,0,1,1,0
1576122.875,48.99,52088.0,0.0,0.0,,1.0,2,0,47,26044.0,1.0,1.0,0.0,0.0,NonResidential,Self-Storage Facility,SOUTHWEST,No_Second_Use,No_Third_Use,2,2,0,1,1,0
9676783.0,309.6,123920.0,30000.0,0.0,79.0,1.0,5,30000,18,24784.0,0.7579083279535184,1.0,0.2420916720464816,0.0,NonResidential,Hotel,LAKE UNION,Parking,Swimming Pool,1,3,1,1,1,0
7942537.5,225.69,43000.0,0.0,0.0,,1.0,1,0,116,50000.0,1.0,0.86,0.0,0.0,Nonresidential COS,Other,LAKE UNION,No_Second_Use,No_Third_Use,3,2,0,1,1,0
